question,gold,prediction,correct,n_nodes,valid_graph
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,the North Atlantic Conference,"From 1988 to 1996, the America East Conference was known as the North Atlantic Conference.

Conclusion: The former name of the America East Conference from 1988 to 1996 was the North Atlantic Conference.",False,2,True
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,"Yes, Ambroise Thomas was a French composer, primarily known for his operas. His most famous works include ""Mignon"" and ""Hamlet.""",False,2,True
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,Richard Nixon served as the 37th President of the United States. His presidential term began in 1969 and ended with his resignation in 1974. Conclusion: Richard Nixon served as president from 1969 to 1974.,False,3,True
"Which writer was from England, Henry Roth or Robert Erskine Childers?",Robert Erskine Childers DSC,Robert Erskine Childers was from Ireland.,False,2,True
Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,Pedro Rodríguez,"The list of Mexican Formula One drivers who have achieved a podium finish is Pedro Rodríguez and Sergio Pérez. Excluding Sergio Pérez from this list leaves Pedro Rodríguez. Therefore, Pedro Rodríguez is the other Mexican Formula One driver who has held the podium besides Sergio Pérez.",False,5,True
This singer of A Rather Blustery Day also voiced what hedgehog?,Sonic,Sebastian Cabot did not voice any hedgehog characters. His notable voice roles include Bagheera in The Jungle Book and the narrator in several Winnie the Pooh productions.,False,2,True
"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?",keyboard function keys,A common input device that can control Apple Front Row is a standard **keyboard**. Users could navigate the interface using arrow keys and other keyboard commands.,False,3,True
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,"Badly Drawn Boy's ratio is 3.0, and Wolf Alice's ratio is 1.5. Comparing these values, 3.0 is greater than 1.5. Therefore, Badly Drawn Boy has a higher instrument to person ratio.",False,6,True
What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,World's Best Goalkeeper,"In 1992, Peter Schmeichel was voted the IFFHS World's Best Goalkeeper.",False,2,True
Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,Barton Lee Hazlewood,The death year from Node 2 is 2007. Yes.,False,3,True
"The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?",1838,Virginia Commonwealth University was founded in 1968.,False,2,True
"Are both Dictyosperma, and Huernia described as a genus?",yes,"Based on the established information, Dictyosperma is described as a genus of flowering plants, and Huernia is described as a genus of succulent plants. Therefore, both Dictyosperma and Huernia are described as a genus.",False,3,True
Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,Henry J. Kaiser,"Yes, the founder of Kaiser Ventures, Henry J. Kaiser (Node 1), is the same person as the industrialist known as the father of modern American shipbuilding, also Henry J. Kaiser (Node 2). Therefore, the founder of Kaiser Ventures is the industrialist known as the father of modern American shipbuilding.",False,3,True
"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",Arena of Khazan,"The most iconic and original adventure module associated with ""Tunnels and Trolls"" is **Buffalo Castle**. It was the very first standalone adventure published for the game.",False,2,True
"When was Poison's album ""Shut Up, Make Love"" released?",2000,"Poison did not release an album titled ""Shut Up, Make Love."" Therefore, there is no release date for an album by this name from the band.",False,3,True
"Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?","Fujioka, Gunma",Buck-Tick is a Japanese rock band. They hail from Japan.,False,1,True
